word,lexical_class,aoa,n_chars,word_count,mlu,frequency,log_frequency,concreteness
stop,predicates,23.029621528245,4,3647.0,5.703866191390183,0.0004856028152447061,-7.630119520779641,3.68
store,other,24.8198803004437,5,1608.0,9.930348258706468,0.00021410730104565051,-8.44903326184941,4.5
story,nouns,25.1412568493227,5,3640.0,8.79642857142857,0.00048467075609836315,-7.632040750957535,3.3
street,nouns,26.2987487095556,6,931.0,10.06766917293233,0.0001239638664636198,-8.995520434311254,4.75
stuck,predicates,26.4931677986837,5,1108.0,6.785198555956678,0.0001475316477354358,-8.821467844281093,3.55
sun,nouns,23.1193683392304,3,973.0,9.983556012332992,0.00012955622134167783,-8.951395629402317,4.83
swim,predicates,25.1554532652127,4,646.0,7.690402476780186,8.601574407679742e-05,-9.360980207805719,4.43
table,nouns,24.074557775,5,3141.0,8.419929958611908,0.00041822825409476886,-7.779483212049675,4.9
take,predicates,27.1221153415631,4,12997.0,8.513272293606217,0.0017305675321457213,-6.359305871006733,3.06
talk,predicates,26.4200709039485,4,4320.0,8.358101851851853,0.0005752136446002551,-7.460769030350166,4.07
tape,nouns,27.2199941189669,4,2758.0,8.514865844815084,0.00036723130365914436,-7.909518653235074,4.9
